code_uic;libelle;fret;voyageurs;code_ligne;rg_troncon;pk;commune;departemen;idreseau;idgaia;x_l93;y_l93;x_wgs84;y_wgs84;c_geo;geo_point_2d;geo_shape
87677104;Les Deux Jumeaux;N;O;655000;1;230+200;HENDAYE;PYRENEES-ATLANTIQUES;4434;e158d1ac-19bf-11e5-a6ff-01fc64e0362d;313881.46379999816;6263967.776900001;-1.764324138788818;43.36997529676284;43.36997529676284,-1.7643241387888178;43.3699752967,-1.76432413879;"{""coordinates"": [-1.76432413878882, 43.36997529673903], ""type"": ""Point""}"
87141077;Frouard;O;O;070000;1;344+266;FROUARD;MEURTHE-ET-MOSELLE;4245;c01b470e-f312-11e3-90ff-015864e0362d;931100.8910999969;6855210.007100001;6.144376862272564;48.755581557342204;48.755581557342204,6.144376862272564;48.7555815573,6.14437686227;"{""coordinates"": [6.144376862272564, 48.75558155731962], ""type"": ""Point""}"
87723734;St-André-de-Corcy;O;O;886000;1;027+442;SAINT-ANDRÉ-DE-CORCY;AIN;6366;c07b65f4-f312-11e3-90ff-015864e0362d;851003.7555999979;6538117.499699999;4.948707636273644;45.925981717567566;45.925981717567566,4.948707636273644;45.9259817176,4.94870763627;"{""coordinates"": [4.948707636273643, 45.925981717550606], ""type"": ""Point""}"
87762906;Lyon-St-Exupéry-TGV;N;O;752000;1;409+715;COLOMBIER-SAUGNIEU;RHONE;6769;d96b1508-6667-11e3-89ff-01f464e0362d;861454.4240000024;6515606.056299999;5.075877861112024;45.72093606755898;45.72093606755898,5.075877861112024;45.7209360675,5.07587786111;"{""coordinates"": [5.075877861112023, 45.720936067541416], ""type"": ""Point""}"
87175141;Eurville-Bienville;O;O;020000;1;244+654;EURVILLE-BIENVILLE;HAUTE-MARNE;4106;d989441c-6667-11e3-89ff-01f464e0362d;850803.4266000018;6833297.358199999;5.044745010027194;48.58231410602889;48.58231410602889,5.044745010027194;48.582314106,5.04474501003;"{""coordinates"": [5.044745010027195, 48.582314106005406], ""type"": ""Point""}"
87394015;Lucé;O;O;500000;1;089+830;LUCE;EURE-ET-LOIR;72286;d941f954-6667-11e3-89ff-01f464e0362d;585584.9280999973;6816279.539900001;1.453018308838864;48.43670752102672;48.43670752102672,1.4530183088388635;48.436707521,1.45301830884;"{""coordinates"": [1.453018308838862, 48.43670752100247], ""type"": ""Point""}"
87215079;Réding;O;O;140000;1;066+821;RÉDING;MOSELLE;6212;e12f0038-19bf-11e5-a6ff-01fc64e0362d;1000981.7070999965;6856993.091200002;7.094931759458109;48.742800610686245;48.742800610686245,7.094931759458109;48.7428006107,7.09493175946;"{""coordinates"": [7.09493175945811, 48.74280061066358], ""type"": ""Point""}"
87543058;Artenay;O;O;570000;1;101+531;ARTENAY;LOIRET;2945;c0f1280c-f312-11e3-90ff-015864e0362d;616818.5582000017;6776081.318;1.882942530696593;48.07981327017611;48.07981327017611,1.8829425306965928;48.0798132701,1.8829425307;"{""coordinates"": [1.882942530696592, 48.07981327014997], ""type"": ""Point""}"
87722025;Lyon-Perrache;N;O;830000;1;510+914;LYON;RHONE;5297;d9b0302e-6667-11e3-89ff-01f464e0362d;841927.5583999977;6518176.7632;4.825673533833033;45.74842155203028;45.74842155203028,4.825673533833033;45.748421552,4.82567353383;"{""coordinates"": [4.825673533833033, 45.74842155201279], ""type"": ""Point""}"
87487884;La Ménitré;N;O;515000;1;320+145;LA MÉNITRÉ;MAINE-ET-LOIRE;4708;c12743cc-f312-11e3-90ff-015864e0362d;452971.3299999982;6704787.3596;-0.275982998842375;47.39730385204992;47.39730385204992,-0.2759829988423748;47.397303852,-0.275982998842;"{""coordinates"": [-0.275982998842377, 47.39730385202005], ""type"": ""Point""}"
87381137;Asnières-sur-Seine;N;O;973000;1;004+516;ASNIERES-SUR-SEINE;HAUTS-DE-SEINE;2953;d946e1bc-6667-11e3-89ff-01f464e0362d;647515.4548000023;6867486.011999998;2.284017731281219;48.905232163368915;48.905232163368915,2.284017731281219;48.9052321633,2.28401773128;"{""coordinates"": [2.284017731281218, 48.90523216334708], ""type"": ""Point""}"
87381491;Andrésy;N;O;334000;1;029+353;ANDRESY;YVELINES;2883;e00a033c-19bf-11e5-82ff-01fc64e0362d;630389.0046000034;6875401.5832;2.049102056308881;48.974783703213305;48.974783703213305,2.0491020563088806;48.9747837032,2.04910205631;"{""coordinates"": [2.049102056308879, 48.97478370319183], ""type"": ""Point""}"
87393215;Viroflay-Rive-Gauche;N;O;977000;1;014+350;VIROFLAY;YVELINES;7300;c0f7526e-f312-11e3-90ff-015864e0362d;639116.3498999998;6855944.725299999;2.171099585781007;48.800704672801125;48.800704672801125,2.171099585781007;48.8007046728,2.17109958578;"{""coordinates"": [2.171099585781006, 48.800704672778764], ""type"": ""Point""}"
